ID	NUTS	q	x1	z1	z2
1	AT11	49.514286	181.39047	45.065762	197.84929
2	AT12	58.259556	213.20222	43.192383	196.54427
3	AT13	73.875298	315.76587	32.56406	150.89977
4	AT21	56.029167	220.93333	46.466816	214.56209
5	AT22	54.842007	223.02231	49.463036	197.63467
6	AT31	59.810265	229.493	48.626343	202.30569
7	AT32	61.935848	221.0717	61.3657	247.53278
8	AT33	60.018406	220.88957	66.351921	272.96878
9	AT34	64.831253	241.85001	57.933254	222.13602
10	BE10	82.954758	259.82684	71.891045	251.84349
11	BE21	78.266472	266.98282	72.492058	258.88052
12	BE22	61.543335	268.12	65.206497	227.6886
13	BE23	64.558182	242.73767	65.214981	234.26804
14	BE24	73.224747	265.05807	74.238106	266.37808
15	BE25	62.201271	243.85805	62.409603	222.21248
16	BE31	83.867767	294.22314	70.364159	233.64391
17	BE32	59.538071	190.21573	72.488434	249.59636
18	BE33	59.997173	221.70338	62.805882	232.45067
19	BE34	57.107143	236.25	69.091751	232.12267
20	BE35	57.836735	186.13605	66.746979	241.49007
21	BG31	6.2419825	53.53936	4.9210329	36.369823
22	BG32	4.9612403	22.697674	7.130168	75.089142
23	BG33	5.5943875	64.890305	6.8286757	65.292068
24	BG34	5.287879	33.549244	11.473212	91.94706
25	BG41	6.7989364	38.388298	15.08091	89.748253
26	BG42	4.3805857	52.986134	10.334867	57.26384
27	CY00	39.720634	184.29842	37.073463	140.58618
28	CZ01	26.164751	171.68582	22.355125	160.65048
29	CZ02	20.084017	155.18443	23.571272	163.95076
30	CZ03	17.169611	151.72438	33.245991	169.29021
31	CZ04	16.746964	119.03442	33.650974	220.2003
32	CZ05	16.867817	105.29885	19.330507	134.688
33	CZ06	16.694517	122.65013	37.244228	177.27434
34	CZ07	16.182657	112.21217	16.723022	126.78578
35	CZ08	16.489523	177.11809	15.295854	104.96787
36	DE11	64.123703	194.72672	55.39019	193.60545
37	DE12	59.555321	174.90923	61.004578	196.09926
38	DE13	53.499069	179.87151	61.230701	206.47989
39	DE14	56.048996	192.03786	58.889626	201.80959
40	DE21	69.25692	263.59991	55.525448	212.03961
41	DE22	50.924694	202.50787	52.096436	212.78549
42	DE23	52.309525	198.03847	37.618488	167.71191
43	DE24	47.923759	164.47163	47.916889	212.90596
44	DE25	55.327415	200.8213	54.075241	191.49915
45	DE26	53.580452	182.56842	58.936008	186.59512
46	DE27	52.438774	217.69048	62.855854	222.62082
